date,commit,lift,pr
2022-03-16,5b6fc369e2d072297c4d5ab39072ea1aab6117d0,Squat,115
2022-03-16,5b6fc369e2d072297c4d5ab39072ea1aab6117d0,Bench,110
2022-03-16,5b6fc369e2d072297c4d5ab39072ea1aab6117d0,Deadlift,170
2022-04-14,3f83c7923c776f4214dca4513af79ff1601f21d8,Bench,112.5
2022-05-03,4e310beac273ffa8782d67c0840416d05c07a3fb,Deadlift,175
2022-05-24,020900ad591105c9c5f5b6c9f880d829bd8db091,Squat,120
2022-05-31,35b42f504ed4016acfa7a5821dbc0d23b53b7a93,Deadlift,180
2022-07-03,809a89a13fa65860ffdd95fdec1753fbe8305a48,Squat,125
2022-07-28,b7fb44062928f6326457de82463c0830a9d2aa78,Deadlift,182,5
2022-07-28,e399a748f98a6f94d3fbd66f03665dd59343a56c,Deadlift,182.5
2022-08-01,f66c52b2e9a2406e3d5322898034e9342dd5fbb1,Squat,130
2022-08-24,e2f931b16ae00084b3164306a939d57caeb11173,Deadlift,185
2022-09-13,d004adf3f21617248a80c94f5de2a523464a3caf,Squat,132
2022-11-11,f4e44d4592dc6816e3cd5cc986ba388535f3b56a,Squat,132.5
2022-11-16,aff8712485e714d8d7c16ff454127b5d18d2d86f,Bench,113
2023-01-06,7c2746c2f708ed6ce74305810a2882b6cd7114f8,Bench,114
2023-04-24,84a77e646711e2877e46bcb70f82af893e783e11,Bench,115
2023-06-17,400b01e7992ad28be454c7264070443c3acf0c90,Bench,116
2023-07-01,582bb166c3cd0c98c13166d6f4a8464fbf3e317f,Bench,117.5
2023-08-01,72e102a47ca24ff60b191286f93aae4541708c81,Bench,118
2023-09-19,df5db8ee93d2d8ba2d54cd66df53e7714ce9729e,Snatch,57
2023-09-19,df5db8ee93d2d8ba2d54cd66df53e7714ce9729e,Clean & jerk,70
2024-01-22,0dab5a57725cbc5b4f66d136a66b80b560128017,Squat,135
2024-02-11,ac9a6a5a74462883eecc4d9ee78d8109a21e3699,Snatch,60
2024-02-11,ac9a6a5a74462883eecc4d9ee78d8109a21e3699,Clean & jerk,80
2024-03-24,1ac05c2ef219f5f18cb24ea3a929b7ee0dc28c53,Bench,120
2024-06-18,6c1855b37a9629b751655a3a58eacc3d3af0f7dc,Snatch,62
2024-06-18,6c1855b37a9629b751655a3a58eacc3d3af0f7dc,Clean & jerk,85
2024-06-24,b5c4a5b44a941e84d529347d6c17a7da65be73a4,Deadlift,186
2024-07-22,c567d96fc91a541001f1b0b12c4e5087aa031969,Deadlift,190
2024-08-26,f144b968f2f52721fccc227130da444d80fb8e37,Snatch,65
2024-12-20,fc0add047511f86af088dd45372d9f0835ee1c8f,Squat,144
2024-12-29,85f038a3fe73e9527e506b16ae304e665c07f2bb,Snatch,66
2025-02-23,002741db9aebadc3da2f71d76f176c0c4ae47f16,Bench,125
2025-02-23,002741db9aebadc3da2f71d76f176c0c4ae47f16,Snatch,68
2025-02-23,002741db9aebadc3da2f71d76f176c0c4ae47f16,Pullups,200
2025-02-23,b0ee9745283561c8033090af460f93d9944cbccf,Bench,120
2025-03-07,9359de48f65b6b78a8abd4c2c955d781c898e5b9,Snatch,74
2025-03-07,9359de48f65b6b78a8abd4c2c955d781c898e5b9,Pullups,661
2025-03-24,227321eefe5c2af8f7ef5ab8f91a6496cd3aed24,Clean & jerk,86
2025-03-24,227321eefe5c2af8f7ef5ab8f91a6496cd3aed24,Pullups,1001
2025-04-13,95bded0612d625aed1e700c3da60e88636816c2a,Snatch,75
2025-05-10,0136fc85518795ab6a2ecee7ef7fdc6068031540,Squat,145
2025-05-10,0136fc85518795ab6a2ecee7ef7fdc6068031540,Deadlift,191
2025-09-12,3b3dd494d247d94fe75b3ee69ff53a9943853eec,Clean & jerk,87
2025-10-03,fdcc8add5f50c230b97d14ec2948534b4f1f53b6,Pullups,1303
2025-10-25,03373b94689a758767deb1294b8ba6ecd3cadd66,Snatch,76
2025-10-25,03373b94689a758767deb1294b8ba6ecd3cadd66,Clean & jerk,90
2025-10-28,e563c4076e4bdfc053dc9482a1cf9af6fb7c6cfb,Deadlift,192
2026-02-20,d2ee18d12f35ef5161faeed9ab7c2d22d4ac9a62,Clean & jerk,92.5
